Market Trend On ,Symbol,Volume,Value,Previous Close,High,Low,Open,Close,Average,Trades,Current Yield,Open Yield,Stats Date
,ARIS.ZW,"12,700.00","41,191.50",3.2453,3.2475,3.2025,3.2453,3.2434,3.2434,7,,,24/1/2022
,ARTD.ZW,"1,600.00","16,120.00",10.3,10.3,10,10.3,10.075,10.075,7,,,24/1/2022
,AXIA.ZW,"84,800.00","3,587,480.00",41.1655,45,41.05,41.1655,42.3051,42.3051,13,,,24/1/2022
,CAFCA.ZW,"31,100.00","5,287,000.00",170,170,170,170,170,170,3,,,24/1/2022
,CBZ.ZW,"658,200.00","46,124,010.00",67.0416,71,70,67.0416,70.0759,70.0759,11,,,24/1/2022
,CSZL.ZW,"314,500.00","15,592,100.00",50.4216,50,48,50.4216,49.5774,49.5774,20,,,24/1/2022
,DLTA.ZW,"81,700.00","13,378,565.00",166.1726,165.1,160,166.1726,163.7523,163.7523,35,,,24/1/2022
,DZL.ZW,"29,700.00","1,069,400.00",37.5536,38,36,37.5536,36.0067,36.0067,7,,,24/1/2022
,ECO.ZW,"6,900.00","575,015.00",82.001,85,82.5,82.001,83.3355,83.3355,8,,,24/1/2022
,EDGR.ZW,"1,000.00","4,951.25",4.9513,4.9525,4.95,4.9513,4.9512,4.9512,2,,,24/1/2022
,FCA.ZW,"1,200.00","4,320.00",3.5003,3.6,3.6,3.5003,3.6,3.6,5,,,24/1/2022
,GBH.ZW,"36,600.00","58,860.25",1.6041,1.6125,1.55,1.6041,1.6082,1.6082,20,,,24/1/2022
,HIPO.ZW,"82,800.00","21,528,000.00",260,260,260,260,260,260,3,,,24/1/2022
,INN.ZW,"79,700.00","14,825,535.00",185.213,200,185.2,185.213,186.0167,186.0167,22,,,24/1/2022
,MASH.ZW,"25,300.00","62,578.00",2.6,2.83,2.4,2.6,2.4734,2.4734,14,,,24/1/2022
,MEIK.ZW,"14,200.00","1,737,000.00",125,125,120,125,122.3239,122.3239,11,,,24/1/2022
,MMDZ.ZW,"5,000.00","115,400.00",25,25,23,25,23.08,23.08,4,,,24/1/2022
,MSHL.ZW,"1,000.00","50,000.00",52.05,50,50,52.05,50,50,1,,,24/1/2022
,NMB.ZW,"2,000.00","25,660.00",12.6681,14,12.7,12.6681,12.83,12.83,4,,,24/1/2022
,NPKZ.ZW,300,"4,050.00",12.9925,13.5,13.5,12.9925,13.5,13.5,2,,,24/1/2022
,NTFD.ZW,"3,300.00","4,455,000.00","1,386.00","1,350.00","1,350.00","1,386.00","1,350.00","1,350.00",1,,,24/1/2022
,OKZ.ZW,"459,100.00","12,342,440.00",25.4665,28,25.5,25.4665,26.8839,26.8839,16,,,24/1/2022
,PROL.ZW,100,"2,700.00",27.5,27,27,27.5,27,27,1,,,24/1/2022
,RTG.ZW,"1,000.00","7,500.00",7.5,7.5,7.5,7.5,7.5,7.5,3,,,24/1/2022
,SACL.ZW,"552,600.00","827,426.50",1.6035,1.6025,1.45,1.6035,1.4973,1.4973,38,,,24/1/2022
,SEED.ZW,"33,200.00","3,652,000.00",113,110,110,113,110,110,2,,,24/1/2022
,SIM.ZW,"12,600.00","1,575,140.00",125.0113,126,125,125.0113,125.0111,125.0111,9,,,24/1/2022
,TRUW.ZW,"1,100.00","2,362.00",2.1325,2.15,2.1425,2.1325,2.1472,2.1472,3,,,24/1/2022
,UNIF.ZW,"21,200.00","678,400.00",28,32,32,28,32,32,2,,,24/1/2022
,WILD.ZW,"1,000.00","3,400.00",3.4,3.4,3.4,3.4,3.4,3.4,4,,,24/1/2022
,ZIMP.ZW,"2,100.00","6,300.00",2.9059,3,3,2.9059,3,3,2,,,24/1/2022
,ZIMR.ZW,"4,900.00","16,996.00",3.5004,3.5025,3.1,3.5004,3.4685,3.4685,9,,,24/1/2022
,ZIMW.ZW,"27,500.00","608,300.00",22.1765,23,22,22.1765,22.12,22.12,9,,,24/1/2022
,Total=33,"2,590,000.00","148,265,200.50",,,,,,,298,,,
